Salt ID,Salt Smiles,Cation Heavy Atoms,Tanimoto Similarity Score,Molecular Relative,Anion,Model Density,MD Density,% Difference
C01_A01,CCN1C=[N+]C(NC)=C1.N#Cc1nc[n-]c1C#N,9,0.6363636363636364,1-ethyl-1H-imidazolium,"4,5-dicyanoimidazolide",1000,,
C02_A02,CCCC(F)C[n+]1ccn(C(F)C(F)CCC)c1.F[B-](F)(F)F,18,0.6442307692307693,3-butyl-1-methyl-1H-imidazolium,tetrafluoroborate,1000,,
C03_A03,CCCCCCCn1cc[n+](CNCCCCC)c1.[NH3+]C(CCC(=O)[O-])C(=O)[O-],19,0.6907216494845361,3-butyl-1-methyl-1H-imidazolium,(S)-2-amino-4-carboxybutanoate,1000,,
C04_A04,CCCn1c[n+](C(C)N)cc1C.CCOP(=O)([O-])OCC,12,0.6056338028169014,"1,3-dipropyl-1H-imidazol-3-ium",diethylphosphate,1000,,
C05_A05,CCCCPCCCCC(F)[N+]1(C)CCOCC1.[Br-],18,0.6424242424242425,4-hexyl-4-methylmorpholinium,bromide,1000,,
C06_A06,CCCCCCCC[n+]1ccn(CC(N)(F)F)c1.c1c[n-]cn1,18,0.6979166666666666,3-butyl-1-methyl-1H-imidazolium,imidazol-1-ide,1000,,
C07_A07,CCCc1ccc(CCP)[n+](CCC(O)F)c1.CC(=O)[O-],17,0.6696428571428571,"1-hexyl-3,5-dimethylpyridinium",acetate,1000,,
C08_A08,CCC(CCCCC[P+](CC)(CC)CC)S(=O)(=O)O.CCCCO[PH](=O)[O-],19,0.6037735849056604,tributyloctylphosphonium,butyl phosphonate,1000,,
C09_A09,Bc1cc(C)[n+](-c2ccccc2)n1CCC(B)CC.CCCCCCCCCC(=O)[O-],19,0.6838235294117647,"1-phenyl-3,5-dimethyl-2-pentylpyrazolium",decanoate,1000,,
C10_A10,C[n+]1cccc(C2CC2)c1.CCCCC(CC)CCC(=O)[O-],10,0.6363636363636364,1-ethyl-3-methylpyridinium,4-ethyloctanoate,1000,,
C11_A11,CC[n+]1cccc(NO)c1CCC(F)(F)F.[N-]=[N+]=[N-],16,0.6385224274406333,1-ethyl-2-pentylpyridin-1-ium,azide,1000,,
C12_A12,CCCCC(CC)(CF)Cn1cc[n+](C)c1C=O.N#Cc1nc[n-]c1C#N,18,0.658753709198813,"1-hexyl-2,3-dimethylimidazolium","4,5-dicyanoimidazolide",1000,,
C13_A13,N[N+]1=CC=CC=C1.CCCCCCCCC=CCCCCCCCC(=O)[O-],7,0.603448275862069,1-methylpyridinium,oleate,1000,,
C14_A14,CCCc1c[n+](CCCCCCPCC)ccc1C.O=S(=O)([O-])CC(O)CNC1CCCCC1,19,0.6103286384976526,1-hexyl-4-methylpyridinium,3-(cyclohexylamino)-2-hydroxypropanesulfonate,1000,,
C15_A15,C=CC[NH+](CC)C(C)CC.N#C[S-],10,0.6590909090909091,"N,N-diethyl-N-methylpropan-1-aminium",thiocyanate,1000,,
C16_A16,CC(C)CCCn1cc[n+](C)c1N=N.CC(O)C(=O)[O-],14,0.6666666666666666,3-butyl-1-methyl-1H-imidazolium,lactate,1000,,
C17_A17,CCCCCC(C)C[NH3+].NC(CO)C(=O)[O-],9,0.625,2-methylbutylammonium,L-serinate,1000,,
C18_A18,CCCc1cn(CCCCC(CC)CCC)c[n+]1C.CCOS(=O)(=O)[O-],19,0.6146788990825688,3-butyl-1-methyl-1H-imidazolium,ethylsulfate,1000,,
C19_A19,CCOC(C)CC[P+](CC)(CC)CCF.NCCCCC(N)C(=O)[O-],15,0.6703296703296703,tributyloctylphosphonium,L-lysinate,1000,,
C20_A20,CCC(F)CC[NH3+].NCCC(=O)[O-],7,0.6538461538461539,pentylammonium,.beta.-alaninate,1000,,
C21_A21,CCCCCCc1c(OCC)ccc[n+]1C.CC(C)C(N)C(=O)[O-],16,0.6141732283464567,1-ethyl-2-pentylpyridin-1-ium,L-valinate,1000,,
C22_A22,CCCCCCC[N+]CCPC.c1nnc[n-]1,12,0.6056338028169014,"N-ethyl-N,N-dimethylheptanaminium","1,2,4-triazolide",1000,,
C23_A23,CCCCC[N+]F.O=S(=O)([O-])O,7,0.6071428571428571,pentylammonium,hydrogensulfate,1000,,
C24_A24,CCC(CC)C(C)CC(C)CC[NH+](CCO)CCO.CC(N)C(=O)[O-],19,0.6296296296296297,4-methyl-4-octylmorpholin-4-ium,L-alaninate,1000,,
C25_A25,C#Cc1c[n+](C)cn1CCCC(CC)CCCC.CCCCO[PH](=O)[O-],18,0.6504854368932039,3-butyl-1-methyl-1H-imidazolium,butyl phosphonate,1000,,
