Salt ID,Salt Smiles,Cation Heavy Atoms,Tanimoto Similarity Score,Molecular Relative,Anion,Model Prediction,MD Calculation,Error
C16_A16,CCn1cc[n+](O)c1.CCOS(=O)(=O)[O-],8,0.6074074074074074,1-ethyl-3-methylimidazolium,ethylsulfate,[ 354.69 1353.94],"371.99, 1291.03","[4.65, 4.87]"
C17_A17,CCC#CCCn1cc[n+](NCO)c1.N#C[S-],14,0.6180904522613065,1-butyl-3-methylimidazolium,thiocyanate,[ 369.18 1394.09],"419.83, 1160.99","[12.06, 20.08]"
C18_A18,CNCc1n(CO)c(NC)c[n+]1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,13,0.5081300813008129,1-butyl-3-methylimidazolium,bis[(trifluoromethyl)sulfonyl]imide,[ 370.61 1447.03],"572.47, 1505.89","[35.26, 3.91]"
C21_A21,CN=NC(=CN)Cn1c[n+](C)cc1N.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,14,0.5377777777777778,1-isobutyl-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide,[ 380.07 1445.44],"562.64, 1523.94","[32.45, 5.15]"
C22_A22,Cn1cc[n+](CSOc2ccccc2)c1.O=C([O-])C(F)(F)F,15,0.515,1-butyl-3-methylimidazolium,trifluoroacetate,[ 347.65 1319.48],"457.50, 1321.45","[24.01, 0.15]"
C26_A26,C#CNC(CC(N)CCO)C[n+]1ccccc1.COS(=O)(=O)[O-],17,0.5879396984924623,1-butyl-2-methylpyridinium,methylsulfate,[ 363.85 1367.95],"601.50, 1264.16","[39.51, 8.21]"
C31_A31,CC(O)[n+]1ccccc1Cl.N#C[N-]C#N,10,0.5691489361702128,1-ethyl-2-methylpyridinium,dicyanamide,[ 359.76 1372.86],"339.94, 1249.83","[5.83, 9.84]"
C37_A37,C[n+]1ccn(CCCCO)c1.O=S(=O)([O-])C(F)(F)F,11,0.9178082191780822,1-butyl-3-methylimidazolium,trifluoromethanesulfonate,[ 349.31 1332.74],"431.41, 1354.84","[19.03, 1.63]"
C38_A38,NC(S)C([NH3+])F.N[C@@H](CO)C(=O)[O-],6,0.5344827586206896,1-butyl-2-methylpyridinium,L-serinate,[ 360.06 1422.53],"332.25, 1459.80","[8.37, 2.55]"
C40_A40,C[n+]1ccccc1CO.COS(=O)(=O)[O-],9,0.6481481481481481,1-ethyl-2-methylpyridinium,methylsulfate,[ 336.85 1378.51],"342.43, 1332.64","[1.63, 3.44]"
C47_A47,N[N+]1=CC=c2ccccc2=C1.CS(=O)(=O)[O-],11,0.5842696629213483,2-octylisoquinolinium,methanesulfonate,[ 362.17 1387.61],"340.83, 1332.35","[6.26, 4.15]"
C49_A49,CCC(Cl)Nn1cc[n+](C)c1.O=[N+]([O-])[O-],11,0.5194174757281553,1-butyl-3-methylimidazolium,nitrate,[ 356.32 1361.17],"338.13, 1277.04","[5.38, 6.59]"
C50_A50,N#Cc1ccc[n+](CCCO)c1.CC(=O)[O-],12,0.9099526066350708,1-butyl-3-cyanopyridinium,acetate,[ 357.6  1342.42],"454.56, 1161.64","[21.33, 15.56]"
C53_A53,CSn1cc[n+](CC(O)C(C)C)c1.N[C@@H](CO)C(=O)[O-],13,0.6086956521739131,1-butyl-3-methylimidazolium,L-serinate,[ 357.51 1337.13],"527.61, 1185.94","[32.24, 12.75]"
C57_A57,C[n+]1cccc(Cl)c1.CS(=O)(=O)[O-],8,0.6153846153846154,1-ethylpyridinium,methanesulfonate,[ 353.15 1532.02],"318.82, 1368.70","[10.77, 11.93]"
C59_A59,OC(CS)CC[n+]1ccccc1.CCOS(=O)(=O)[O-],12,0.7759999999999999,1-butylpyridinium,ethylsulfate,[ 371.42 1405.9 ],"470.68, 1286.19","[21.09, 9.31]"
C62_A62,C[n+]1ccn(CCC(N)(N)C#CN)c1.CCOS(=O)(=O)[O-],14,0.7362637362637363,1-butyl-3-methylimidazolium,ethylsulfate,[ 376.86 1430.25],"553.27, 1295.20","[31.88, 10.43]"
C63_A63,Cc1cccc[n+]1C(CN)PO.N#C[C-](C#N)C#N,12,0.6341463414634146,1-ethyl-2-methylpyridinium,tricyanomethane,[ 356.8  1383.93],"437.02, 1200.79","[18.36, 15.25]"
C66_A66,c1cc[n+](cc1)CCO.O=C([O-])[C@@H]1CCCN1,9,0.8767123287671232,1-ethylpyridinium,L-prolinate,[ 373.59 1448.68],"478.37, 1164.10","[21.9, 24.45]"
C69_A69,C[n+]1ccc(O)cc1.CCOS(=O)(=O)[O-],8,0.6470588235294118,1-methylpyridinium,ethylsulfate,[ 369.76 1389.41],"357.77, 1310.56","[3.35, 6.02]"
C71_A71,C#CCCn1cc[n+](CC=C)c1.O=C([O-])C(F)(F)F,12,0.7654320987654321,1-methyl-3-propylimidazolium,trifluoroacetate,[ 371.84 1395.5 ],"413.93, 1213.64","[10.17, 14.98]"
C74_A74,C[n+]1ccccc1C(F)CS.N[C@@H](CO)C(=O)[O-],11,0.6088435374149661,"1,2-diethylpyridinium",L-serinate,[ 338.01 1366.9 ],"497.92, 1293.89","[32.12, 5.64]"
C76_A76,C[n+]1ccn(c1)CC#N.COS(=O)(=O)[O-],9,0.7983870967741935,1-ethyl-3-methylimidazolium,methylsulfate,[ 363.84 1382.39],"378.49, 1336.21","[3.87, 3.46]"
C79_A79,C[n+]1ccn(CP)c1.O=C([O-])C(F)(F)F,8,0.675,"1,3-dimethylimidazolium",trifluoroacetate,[ 344.95 1402.19],"327.77, 1342.31","[5.24, 4.46]"
C81_A81,c1cc[n+](cc1)CCO.O=S(=O)([O-])C(F)(F)F,9,0.8767123287671232,1-ethylpyridinium,trifluoromethanesulfonate,[ 340.58 1439.17],"366.44, 1433.91","[7.06, 0.37]"
C83_A83,CC(N)C[n+]1ccc(N)cc1CS.O=C([O-])C(F)(F)F,13,0.6103286384976526,1-ethyl-2-methylpyridinium,trifluoroacetate,[ 356.88 1363.17],"457.70, 1345.40","[22.03, 1.32]"
C85_A85,C[n+]1ccn(c1)CC#N.COS(=O)(=O)[O-],9,0.7983870967741935,1-ethyl-3-methylimidazolium,methylsulfate,[ 363.84 1382.39],"337.45, 1356.63","[7.82, 1.9]"
C86_A86,N#CNCCn1cc[n+](CO)c1.[Br-],12,0.6182795698924731,1-butyl-3-methylimidazolium,bromide,[ 371.42 1401.67],"341.57, 1542.71","[8.74, 9.14]"
C91_A91,CCn1cc(Cl)[n+](C)c1.[Br-],9,0.6387096774193548,1-ethyl-3-methylimidazolium,bromide,[ 352.0  1322.92],"236.28, 1524.02","[48.98, 13.2]"
C95_A95,C[n+]1cccc(C#N)c1.O=C([O-])C(F)(F)F,9,0.78125,1-butyl-3-cyanopyridinium,trifluoroacetate,[ 324.21 1453.08],"324.95, 1333.20","[0.23, 8.99]"
C98_A98,CC(Cl)[n+]1ccccc1.COP(=O)([O-])OC,9,0.8,1-ethylpyridinium,dimethylphosphate,[ 370.55 1483.65],"407.37, 1277.53","[9.04, 16.13]"
C99_A99,C[n+]1cccc(CS)c1.CS(=O)(=O)[O-],9,0.6928104575163399,1-butyl-3-methylpyridinium,methanesulfonate,[ 354.16 1453.88],"345.38, 1312.10","[2.54, 10.81]"
